SPECIES,MAXLEN99
10,96
11,64
12,83
13,47
14,39
15,92
16,91
17,27
19,71
23,41
30,131
31,63
40,51
41,55
42,43
43,51
44,19
50,103
60,33
61,54
62,30
63,17
64,17
70,41
112,36
113,52
114,30
122,44
123,32
141,67
142,40
143,36
146,17
149,22
150,15
152,9
156,13
157,7
158,8
159,32
160,41
165,28
169,33
176,20
200,126
201,82
202,60
203,55
204,98
211,43
220,96
221,61
223,90
224,66
240,72
241,57
247,106
300,34
301,42
303,15
304,14
306,9
309,7
314,18
320,57
323,9
330,38
340,20
350,23
351,21
370,8
400,96
410,34
412,49
414,60
500,12
501,53
502,9
503,23
505,14
512,28
590,25
594,47
601,51
602,64
604,96
610,26
611,24
613,67
619,55
620,50
622,42
623,15
625,22
626,21
630,84
640,82
641,70
642,55
646,15
647,48
650,30
660,29
701,21
704,45
712,27
720,39
795,14
880,9
946,29
