Indicator,group,metric,q,noq,land,rerun
kemptonQ,ALL,ABUNDANCE,1,1,0,1
shannon,ALL,ABUNDANCE,1,1,0,1
hillN1,ALL,ABUNDANCE,1,1,0,1
hillN2,ALL,ABUNDANCE,1,1,0,1
pielouSpeciesEvenness,ALL,ABUNDANCE,1,1,0,1
margalefSpeciesRichness,ALL,ABUNDANCE,1,1,0,1
margalefSpeciesRichness,GROUNDFISH,ABUNDANCE,1,1,0,1
resourcePotential,ALL,BIOMASS,1,1,0,1
resourcePotential,CLUPEIDS,BIOMASS,1,1,0,1
resourcePotential,FINFISH,BIOMASS,1,1,0,1
resourcePotential,FLATFISH,BIOMASS,1,1,0,1
resourcePotential,GADOIDS,BIOMASS,1,1,0,1
resourcePotential,GROUNDFISH,BIOMASS,1,1,0,1
resourcePotential,INVERTEBRATES,BIOMASS,1,1,0,1
resourcePotential,FORAGE,BIOMASS,1,1,0,1
resourcePotential,SKATES,BIOMASS,1,1,0,1
resourcePotential,PELAGIC,BIOMASS,1,1,0,1
resourcePotential,LBENTHIVORE,BIOMASS,1,1,0,1
resourcePotential,MBENTHIVORE,BIOMASS,1,1,0,1
resourcePotential,PISCIVORE,BIOMASS,1,1,0,1
resourcePotential,PLANKTIVORE,BIOMASS,1,1,0,1
resourcePotential,ZOOPISCIVORE,BIOMASS,1,1,0,1
resourcePotential,ALL,ABUNDANCE,1,1,0,1
speciesRichness,ALL,ABUNDANCE,1,1,0,1
meanMaxL,ALL,ABUNDANCE,1,1,0,1
meanMaxL,ALL,BIOMASS,1,1,0,1
biomassPerTL,ALL,BIOMASS,1,1,0,1
invCVBiomass,ALL,BIOMASS,1,1,0,1
meanMaxAge,ALL,BIOMASS,1,1,0,1
communityFultonK,FINFISH,ABUNDANCE,1,1,0,1
communityFultonK,LBENTHIVORE,ABUNDANCE,1,1,0,1
communityFultonK,MBENTHIVORE,ABUNDANCE,1,1,0,1
communityFultonK,PISCIVORE,ABUNDANCE,1,1,0,1
communityFultonK,PLANKTIVORE,ABUNDANCE,1,1,0,1
communityFultonK,ZOOPISCIVORE,ABUNDANCE,1,1,0,1
largeSpeciesIndicator,ALL,BIOMASS,1,1,0,1
largeFishIndicator,ALL,BIOMASS,1,1,0,1
meanTrophicLevelCommunity,ALL,BIOMASS,1,1,0,1
predatoryFish,ALL,BIOMASS,1,1,0,1
biomassRatioInv2Dem,ALL,BIOMASS,1,1,0,1
biomassRatioPel2Dem,ALL,BIOMASS,1,1,0,1
meanLengthCommunity,ALL,BIOMASS,1,1,0,1
meanLengthCommunity,ALL,ABUNDANCE,1,1,0,1
LandByGroup,ALL,BIOMASS,0,0,1,1
LandByGroup,FINFISH,BIOMASS,0,0,1,1
LandByGroup,CLUPEIDS,BIOMASS,0,0,1,1
LandByGroup,GROUNDFISH,BIOMASS,0,0,1,1
LandByGroup,FLATFISH,BIOMASS,0,0,1,1
LandByGroup,GADOIDS,BIOMASS,0,0,1,1
LandByGroup,FORAGE,BIOMASS,0,0,1,1
LandByGroup,INVERTEBRATES,BIOMASS,0,0,1,1
LandByGroup,SKATES,BIOMASS,0,0,1,1
MarineTrophicIndex,ALL,ABUNDANCE,0,0,1,1
LandingsDiversity,ALL,ABUNDANCE,0,0,1,1
FishingPressure,FINFISH,BIOMASS,1,1,1,1
FishingPressure,CLUPEIDS,BIOMASS,1,1,1,1
FishingPressure,GROUNDFISH,BIOMASS,1,1,1,1
FishingPressure,FLATFISH,BIOMASS,1,1,1,1
FishingPressure,GADOIDS,BIOMASS,1,1,1,1
FishingPressure,FORAGE,BIOMASS,1,1,1,1
FishingPressure,INVERTEBRATES,BIOMASS,1,1,1,1
FishingPressure,ALL,BIOMASS,1,1,1,1
InverseFishingPressure,FINFISH,BIOMASS,1,1,1,1
InverseFishingPressure,CLUPEIDS,BIOMASS,1,1,1,1
InverseFishingPressure,GROUNDFISH,BIOMASS,1,1,1,1
InverseFishingPressure,FLATFISH,BIOMASS,1,1,1,1
InverseFishingPressure,GADOIDS,BIOMASS,1,1,1,1
InverseFishingPressure,FORAGE,BIOMASS,1,1,1,1
InverseFishingPressure,INVERTEBRATES,BIOMASS,1,1,1,1
InverseFishingPressure,ALL,BIOMASS,1,1,1,1
IVILandings,ALL,ABUNDANCE,0,0,1,1
MeanTLLandings,ALL,ABUNDANCE,0,0,1,1
FishingInBalance,ALL,ABUNDANCE,0,0,1,1
FishingPressure,SKATES,BIOMASS,1,1,1,1
InverseFishingPressure,SKATES,BIOMASS,1,1,1,1
LandByGroup,LARGE_PELAGIC,BIOMASS,0,0,1,1
meanTrophicLevelCommunityLength,ALL,BIOMASS,1,1,0,1
heips,ALL,ABUNDANCE,1,1,0,1
